date,time,geography,service,user
2023-01-01,860,Kristiansand,brukeranmeldelser,Kari
2023-01-01,121,Trondheim,meldinger,Kari
2023-01-01,87,Stavanger,innstillinger,Nils
2023-01-01,130,Bergen,innstillinger,Nils
2023-01-01,1437,Stavanger,brukeranmeldelser,Per
2023-01-01,1184,Bergen,profil,Anne
2023-01-01,252,Oslo,brukeranmeldelser,Anne
2023-01-01,474,Bergen,innstillinger,Kari
2023-01-01,699,Stavanger,meldinger,Kari
2023-01-01,1267,Trondheim,brukeranmeldelser,Ola
2023-01-01,646,Oslo,meldinger,Nils
2023-01-02,387,Stavanger,profil,Ola
2023-01-02,241,Oslo,profil,Per
2023-01-02,564,Stavanger,innstillinger,Per
2023-01-02,1390,Stavanger,brukeranmeldelser,Anne
2023-01-02,775,Oslo,innstillinger,Kari
2023-01-02,1411,Bergen,innstillinger,Per
2023-01-03,702,Bergen,innstillinger,Per
2023-01-03,161,Stavanger,profil,Per
2023-01-03,815,Oslo,profil,Anne
2023-01-03,295,Kristiansand,profil,Nils
2023-01-03,878,Bergen,brukeranmeldelser,Nils
2023-01-03,763,Stavanger,brukeranmeldelser,Anne
2023-01-03,1064,Kristiansand,brukeranmeldelser,Nils
2023-01-03,520,Stavanger,innstillinger,Ola
2023-01-03,1086,Trondheim,brukeranmeldelser,Kari
2023-01-03,391,Trondheim,brukeranmeldelser,Kari
2023-01-04,230,Oslo,innstillinger,Per
2023-01-04,134,Stavanger,profil,Ola
2023-01-04,1056,Trondheim,innstillinger,Nils
2023-01-04,725,Trondheim,brukeranmeldelser,Kari
2023-01-04,612,Oslo,brukeranmeldelser,Kari
2023-01-04,1241,Oslo,meldinger,Kari
2023-01-04,1038,Bergen,innstillinger,Per
2023-01-04,863,Stavanger,brukeranmeldelser,Ola
2023-01-04,95,Kristiansand,meldinger,Anne
2023-01-05,748,Kristiansand,innstillinger,Kari
2023-01-05,524,Trondheim,profil,Kari
2023-01-05,577,Kristiansand,profil,Per
2023-01-05,1012,Stavanger,innstillinger,Anne
2023-01-05,1363,Bergen,meldinger,Kari
2023-01-05,1371,Oslo,brukeranmeldelser,Ola
2023-01-05,1400,Oslo,innstillinger,Kari
2023-01-05,972,Trondheim,meldinger,Ola
2023-01-05,709,Oslo,profil,Kari
2023-01-05,1248,Bergen,innstillinger,Kari
2023-01-05,663,Oslo,innstillinger,Kari
2023-01-06,441,Stavanger,profil,Anne
2023-01-06,1409,Oslo,brukeranmeldelser,Kari
2023-01-06,951,Trondheim,brukeranmeldelser,Ola
2023-01-06,1,Stavanger,profil,Per
2023-01-06,854,Oslo,brukeranmeldelser,Nils
2023-01-07,1153,Stavanger,profil,Nils
2023-01-07,1439,Trondheim,innstillinger,Anne
2023-01-07,122,Kristiansand,innstillinger,Ola
2023-01-07,197,Oslo,brukeranmeldelser,Kari
2023-01-07,1147,Kristiansand,meldinger,Kari
2023-01-07,659,Trondheim,innstillinger,Anne
2023-01-07,402,Trondheim,meldinger,Per
2023-01-08,1171,Oslo,brukeranmeldelser,Anne
2023-01-08,550,Oslo,meldinger,Per
2023-01-08,472,Bergen,meldinger,Per
2023-01-08,262,Bergen,innstillinger,Anne
2023-01-08,1016,Stavanger,brukeranmeldelser,Anne
2023-01-08,1,Stavanger,brukeranmeldelser,Ola
2023-01-08,1060,Oslo,brukeranmeldelser,Kari
2023-01-09,815,Stavanger,innstillinger,Kari
2023-01-09,53,Stavanger,meldinger,Ola
2023-01-09,103,Trondheim,innstillinger,Anne
2023-01-09,509,Trondheim,brukeranmeldelser,Ola
2023-01-09,913,Bergen,profil,Per
2023-01-09,1186,Oslo,innstillinger,Nils
2023-01-09,160,Oslo,profil,Anne
2023-01-10,815,Trondheim,brukeranmeldelser,Anne
2023-01-10,639,Stavanger,meldinger,Ola
2023-01-10,469,Trondheim,profil,Nils
2023-01-10,1306,Bergen,brukeranmeldelser,Kari
2023-01-10,797,Stavanger,meldinger,Ola
2023-01-10,959,Kristiansand,innstillinger,Ola
2023-01-10,815,Stavanger,meldinger,Kari
2023-01-10,1215,Oslo,innstillinger,Ola
2023-01-10,1243,Kristiansand,profil,Nils
2023-01-11,1060,Oslo,profil,Nils
2023-01-11,180,Stavanger,brukeranmeldelser,Kari
2023-01-11,1139,Kristiansand,innstillinger,Nils
2023-01-11,1184,Bergen,brukeranmeldelser,Kari
2023-01-11,565,Trondheim,innstillinger,Per
2023-01-11,685,Bergen,meldinger,Per
2023-01-11,154,Bergen,profil,Per
2023-01-12,1127,Oslo,meldinger,Ola
2023-01-12,245,Bergen,meldinger,Nils
2023-01-12,537,Bergen,brukeranmeldelser,Kari
2023-01-12,407,Stavanger,profil,Nils
2023-01-12,902,Stavanger,brukeranmeldelser,Ola
2023-01-13,320,Trondheim,meldinger,Anne
2023-01-13,1166,Bergen,profil,Anne
2023-01-13,726,Oslo,profil,Kari
2023-01-13,574,Bergen,profil,Nils
2023-01-13,1365,Stavanger,profil,Ola
2023-01-13,837,Stavanger,brukeranmeldelser,Kari
2023-01-13,992,Stavanger,innstillinger,Nils
2023-01-13,4,Kristiansand,innstillinger,Anne
2023-01-14,1373,Stavanger,innstillinger,Kari
2023-01-14,268,Stavanger,profil,Per
2023-01-14,656,Stavanger,profil,Kari
2023-01-14,1369,Bergen,brukeranmeldelser,Nils
2023-01-14,790,Stavanger,brukeranmeldelser,Ola
2023-01-14,1081,Oslo,meldinger,Per
2023-01-14,801,Kristiansand,brukeranmeldelser,Ola
2023-01-14,896,Kristiansand,profil,Nils
2023-01-15,1099,Trondheim,brukeranmeldelser,Per
2023-01-15,1109,Kristiansand,profil,Ola
2023-01-15,1243,Oslo,profil,Nils
2023-01-15,957,Kristiansand,innstillinger,Anne
2023-01-15,911,Bergen,innstillinger,Per
2023-01-15,340,Oslo,profil,Anne
2023-01-15,356,Bergen,profil,Per
2023-01-15,1123,Stavanger,meldinger,Per
2023-01-15,761,Bergen,innstillinger,Kari
2023-01-15,768,Kristiansand,innstillinger,Nils
2023-01-15,1039,Oslo,innstillinger,Per
2023-01-16,689,Stavanger,brukeranmeldelser,Kari
2023-01-16,956,Trondheim,brukeranmeldelser,Kari
2023-01-16,1291,Oslo,brukeranmeldelser,Kari
2023-01-16,1191,Trondheim,innstillinger,Per
2023-01-16,284,Stavanger,meldinger,Nils
2023-01-16,1325,Kristiansand,meldinger,Per
2023-01-16,753,Oslo,profil,Kari
2023-01-16,775,Bergen,profil,Nils
2023-01-17,1021,Trondheim,brukeranmeldelser,Per
2023-01-17,1219,Kristiansand,profil,Per
2023-01-17,1098,Stavanger,brukeranmeldelser,Nils
2023-01-17,1300,Oslo,innstillinger,Nils
2023-01-17,1417,Oslo,innstillinger,Nils
2023-01-17,191,Oslo,meldinger,Kari
2023-01-17,977,Kristiansand,innstillinger,Ola
2023-01-17,1392,Oslo,meldinger,Nils
2023-01-17,872,Oslo,profil,Ola
2023-01-17,595,Kristiansand,meldinger,Ola
2023-01-17,1042,Stavanger,innstillinger,Ola
2023-01-17,444,Trondheim,innstillinger,Ola
2023-01-17,264,Stavanger,meldinger,Anne
2023-01-17,1390,Kristiansand,meldinger,Nils
2023-01-18,947,Kristiansand,innstillinger,Kari
2023-01-18,1174,Kristiansand,brukeranmeldelser,Ola
2023-01-18,1065,Bergen,brukeranmeldelser,Per
2023-01-18,1186,Trondheim,meldinger,Nils
2023-01-18,657,Oslo,profil,Anne
2023-01-18,953,Oslo,brukeranmeldelser,Anne
2023-01-18,1253,Bergen,brukeranmeldelser,Nils
2023-01-18,945,Bergen,profil,Kari
2023-01-18,28,Trondheim,innstillinger,Nils
2023-01-18,1388,Stavanger,brukeranmeldelser,Ola
2023-01-18,510,Kristiansand,innstillinger,Ola
2023-01-18,1093,Trondheim,brukeranmeldelser,Anne
2023-01-18,875,Bergen,profil,Kari
2023-01-19,38,Kristiansand,brukeranmeldelser,Kari
2023-01-19,753,Bergen,innstillinger,Anne
2023-01-19,475,Oslo,meldinger,Nils
2023-01-19,1024,Kristiansand,innstillinger,Kari
2023-01-19,189,Stavanger,brukeranmeldelser,Ola
2023-01-19,1432,Kristiansand,profil,Ola
2023-01-19,57,Kristiansand,innstillinger,Anne
2023-01-20,79,Trondheim,innstillinger,Nils
2023-01-20,1252,Trondheim,meldinger,Anne
