geography,service,user,weekday
Kristiansand,brukeranmeldelser,Kari,Sunday
Trondheim,meldinger,Kari,Sunday
Stavanger,innstillinger,Nils,Sunday
Bergen,innstillinger,Nils,Sunday
Stavanger,brukeranmeldelser,Per,Sunday
Bergen,profil,Anne,Sunday
Oslo,brukeranmeldelser,Anne,Sunday
Bergen,innstillinger,Kari,Sunday
Stavanger,meldinger,Kari,Sunday
Oslo,brukeranmeldelser,Ola,Sunday
Oslo,meldinger,Nils,Sunday
Stavanger,profil,Ola,Monday
Oslo,profil,Per,Monday
Stavanger,innstillinger,Per,Monday
Stavanger,brukeranmeldelser,Anne,Monday
Oslo,innstillinger,Kari,Monday
Bergen,innstillinger,Per,Monday
Bergen,innstillinger,Per,Tuesday
Stavanger,profil,Per,Tuesday
Oslo,profil,Anne,Tuesday
Kristiansand,profil,Nils,Tuesday
Bergen,brukeranmeldelser,Nils,Tuesday
Stavanger,brukeranmeldelser,Anne,Tuesday
Kristiansand,brukeranmeldelser,Nils,Tuesday
Stavanger,innstillinger,Ola,Tuesday
Trondheim,brukeranmeldelser,Kari,Tuesday
Trondheim,brukeranmeldelser,Kari,Tuesday
Oslo,innstillinger,Per,Wednesday
Stavanger,profil,Ola,Wednesday
Trondheim,innstillinger,Nils,Wednesday
Trondheim,brukeranmeldelser,Kari,Wednesday
Oslo,brukeranmeldelser,Kari,Wednesday
Oslo,meldinger,Kari,Wednesday
Bergen,innstillinger,Per,Wednesday
Bergen,brukeranmeldelser,Ola,Sunday
Kristiansand,meldinger,Anne,Wednesday
Kristiansand,innstillinger,Kari,Thursday
Trondheim,profil,Kari,Thursday
Kristiansand,profil,Per,Thursday
Stavanger,innstillinger,Anne,Thursday
Bergen,meldinger,Kari,Thursday
Oslo,brukeranmeldelser,Ola,Sunday
Oslo,innstillinger,Kari,Thursday
Trondheim,meldinger,Ola,Thursday
Oslo,profil,Kari,Thursday
Bergen,innstillinger,Kari,Thursday
Oslo,innstillinger,Kari,Thursday
Stavanger,profil,Anne,Friday
Oslo,brukeranmeldelser,Kari,Friday
Oslo,brukeranmeldelser,Ola,Sunday
Stavanger,profil,Per,Friday
Oslo,brukeranmeldelser,Nils,Friday
